"tablename","aureus","haemo","influenza","mixed_infection","other","pathogen_negative","Strep","untested","p","test","SMD","Missing"
"Neutrophil_unit_1 (median [IQR])","7.20 [4.40, 17.40]","9.78 [8.13, 12.05]","10.92 [4.84, 12.41]","6.64 [5.26, 11.60]","8.90 [6.32, 13.00]","10.20 [7.47, 13.95]","14.40 [10.71, 19.70]","9.70 [7.45, 11.65]","0.052","nonnorm","0.391","15.4"
"Lymphocyte_1_1 (median [IQR])","0.60 [0.54, 0.80]","1.00 [0.48, 1.46]","1.03 [0.55, 1.14]","0.90 [0.48, 1.20]","0.84 [0.61, 0.98]","0.96 [0.66, 1.30]","0.88 [0.58, 1.49]","1.12 [0.88, 1.64]","0.789","nonnorm","0.336","12.7"
"Creatinine_value_1 (median [IQR])","89.00 [77.00, 91.00]","98.00 [74.00, 123.00]","72.00 [61.00, 86.00]","86.50 [75.25, 115.50]","89.00 [70.00, 126.00]","88.00 [67.00, 124.00]","89.00 [81.00, 119.00]","108.50 [79.25, 113.00]","0.872","nonnorm","0.144","0.5"
"Platelets_value_1 (median [IQR])","252.00 [180.00, 259.00]","301.00 [200.50, 340.00]","201.00 [153.00, 237.00]","218.50 [149.75, 326.25]","224.00 [186.75, 301.00]","238.50 [167.50, 319.00]","229.00 [177.75, 305.50]","254.00 [213.75, 291.00]","0.948","nonnorm","0.153","2.7"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","6.70 [5.60, 7.80]","7.10 [4.60, 10.45]","6.60 [4.60, 9.10]","8.10 [4.25, 11.35]","7.00 [4.57, 13.80]","6.50 [4.80, 9.53]","8.35 [6.97, 10.78]","6.10 [5.38, 6.75]","0.807","nonnorm","0.199","11.3"
"Oxygen_therapy_1 = Yes (%)","3 (60.0)","6 (85.7)","10 (76.9)","20 (87.0)","21 (84.0)","89 (76.7)","15 (71.4)","6 (75.0)","0.838","","0.246","1.4"
"length_of_oxygen (median [IQR])","2.00 [2.00, 9.50]","178564.50 [2.75, 357122.50]","5.00 [3.00, 7.00]","3.00 [2.00, 5.25]","3.00 [1.00, 6.25]","2.00 [1.00, 5.00]","3.00 [2.00, 4.50]","4.00 [2.50, 4.75]","0.171","nonnorm","0.555","24.0"
"antibiotic_seven_days = Yes (%)","5 (100.0)","7 (100.0)","13 (100.0)","23 (95.8)","25 (100.0)","112 (95.7)","21 (100.0)","8 (88.9)","0.694","","0.214","0.0"
"length_of_stay (median [IQR])","4.00 [4.00, 9.00]","10.00 [4.50, 13.00]","4.00 [2.00, 9.00]","4.00 [3.00, 9.00]","5.00 [4.00, 12.00]","4.00 [2.00, 7.00]","3.00 [3.00, 7.00]","3.00 [2.00, 4.25]","0.116","nonnorm","0.390","2.7"
"ICU_Medium_Care_admission_1 = Yes (%)","0 (0.0)","1 (14.3)","1 (7.7)","1 (4.3)","3 (12.0)","3 (2.6)","1 (4.8)","0 (0.0)","0.469","","0.282","1.4"
"icu_stay (median [IQR])","NA [NA, NA]","0.00 [0.00, 0.00]","16.00 [16.00, 16.00]","1.00 [1.00, 1.00]","3.50 [3.25, 3.75]","1.00 [1.00, 6.00]","1.00 [1.00, 1.00]","NA [NA, NA]","0.310","nonnorm","NA","95.9"
"Non_invasive_ventilation_1 = Yes (%)","0 (0.0)","0 (0.0)","2 (15.4)","0 (0.0)","2 (8.0)","4 (3.4)","1 (4.8)","0 (0.0)","0.417","","0.279","1.4"
"Invasive_ventilation_1 = Yes (%)","0 (0.0)","0 (0.0)","1 (7.7)","0 (0.0)","0 (0.0)","1 (0.9)","0 (0.0)","0 (0.0)","0.389","","0.128","1.4"
"lenght_of_intubation (median [IQR])","NA [NA, NA]","NA [NA, NA]","11.00 [11.00, 11.00]","NA [NA, NA]","NA [NA, NA]","7.00 [7.00, 7.00]","NA [NA, NA]","NA [NA, NA]","0.317","nonnorm","NA","99.1"
"bacteremia = Yes (%)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.9)","0 (0.0)","0 (0.0)","0.996","","0.033","0.0"
"pathogen_cultured = 1 (%)","5 (100.0)","7 (100.0)","13 (100.0)","24 (100.0)","25 (100.0)","0 (0.0)","21 (100.0)","0 (0.0)","<0.001","","NaN","0.0"
"hospdeath = 1 (%)","0 (0.0)","1 (14.3)","0 (0.0)","2 (8.3)","2 (8.0)","2 (1.7)","0 (0.0)","0 (0.0)","0.239","","0.283","0.0"
"mortality_d30 = 1 (%)","0 (0.0)","1 (14.3)","0 (0.0)","2 (8.3)","1 (4.0)","2 (1.7)","0 (0.0)","0 (0.0)","0.302","","0.270","0.0"
"mortality_d90 = 1 (%)","0 (0.0)","1 (14.3)","0 (0.0)","2 (8.3)","2 (8.0)","2 (1.7)","0 (0.0)","0 (0.0)","0.239","","0.283","0.0"
"pathogen (%)","","","","","","","","","<0.001","","NaN","0.0"
"   aureus","5 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","","","",""
"   haemo","0 (0.0)","7 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","","","",""
"   influenza","0 (0.0)","0 (0.0)","13 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","","","",""
"   mixed_infection","0 (0.0)","0 (0.0)","0 (0.0)","24 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","","","",""
"   other","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","25 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","","","",""
"   pathogen_negative","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","117 (100.0)","0 (0.0)","0 (0.0)","","","",""
"   Strep","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","21 (100.0)","0 (0.0)","","","",""
"   untested","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","9 (100.0)","","","",""
"Gram_negative = 1 (%)","0 (0.0)","7 (100.0)","0 (0.0)","10 (41.7)","8 (32.0)","0 (0.0)","0 (0.0)","0 (0.0)","<0.001","","NaN","0.0"
"Gram_positive = 1 (%)","5 (100.0)","0 (0.0)","0 (0.0)","13 (54.2)","0 (0.0)","0 (0.0)","21 (100.0)","0 (0.0)","<0.001","","NaN","0.0"
"Virus = 1 (%)","0 (0.0)","0 (0.0)","13 (100.0)","18 (75.0)","14 (56.0)","0 (0.0)","0 (0.0)","0 (0.0)","<0.001","","NaN","0.0"
"Fungi = 1 (%)","0 (0.0)","0 (0.0)","0 (0.0)","2 (8.3)","3 (12.0)","0 (0.0)","0 (0.0)","0 (0.0)","0.009","","0.208","0.0"
